1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,3.495670386899169, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
973,K Closest Points to Origin,63.8%,Medium,3.3184110303679546, https://leetcode.com/problems/k-closest-points-to-origin
238,Product of Array Except Self,60.1%,Medium,3.283232213950597, https://leetcode.com/problems/product-of-array-except-self
560,Subarray Sum Equals K,43.9%,Medium,3.2328873827137383, https://leetcode.com/problems/subarray-sum-equals-k
199,Binary Tree Right Side View,54.1%,Medium,2.4876454517631963, https://leetcode.com/problems/binary-tree-right-side-view
438,Find All Anagrams in a String,43.3%,Medium,2.397524297872021, https://leetcode.com/problems/find-all-anagrams-in-a-string
211,Add and Search Word - Data structure design,38.1%,Medium,2.3759545223677563, https://leetcode.com/problems/add-and-search-word-data-structure-design
523,Continuous Subarray Sum,24.6%,Medium,2.166716009367632, https://leetcode.com/problems/continuous-subarray-sum
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,2.0376808407812033, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
173,Binary Search Tree Iterator,56.6%,Medium,2.0078306132610235, https://leetcode.com/problems/binary-search-tree-iterator
215,Kth Largest Element in an Array,55.4%,Medium,1.9162899009936014, https://leetcode.com/problems/kth-largest-element-in-an-array
636,Exclusive Time of Functions,51.9%,Medium,1.9144673183856245, https://leetcode.com/problems/exclusive-time-of-functions
986,Interval List Intersections,67.3%,Medium,1.7606773319042146, https://leetcode.com/problems/interval-list-intersections
1428,Leftmost Column with at Least a One,46.8%,Medium,1.7410939458816417, https://leetcode.com/problems/leftmost-column-with-at-least-a-one
398,Random Pick Index,56.0%,Medium,1.739251464947996, https://leetcode.com/problems/random-pick-index
311,Sparse Matrix Multiplication,61.9%,Medium,1.6183865180101145, https://leetcode.com/problems/sparse-matrix-multiplication
56,Merge Intervals,39.3%,Medium,1.5421333498120642, https://leetcode.com/problems/merge-intervals
31,Next Permutation,32.6%,Medium,1.4952605643210366, https://leetcode.com/problems/next-permutation
139,Word Break,40.1%,Medium,1.4806418655886273, https://leetcode.com/problems/word-break
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,1.4752728801959076, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
133,Clone Graph,34.8%,Medium,1.4511392078839955, https://leetcode.com/problems/clone-graph
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,1.4396247937745372, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
71,Simplify Path,32.6%,Medium,1.4382022207219085, https://leetcode.com/problems/simplify-path
785,Is Graph Bipartite?,47.5%,Medium,1.4051826456400964, https://leetcode.com/problems/is-graph-bipartite
721,Accounts Merge,48.8%,Medium,1.3810374792408489, https://leetcode.com/problems/accounts-merge
29,Divide Two Integers,16.4%,Medium,1.3132705131849702, https://leetcode.com/problems/divide-two-integers
249,Group Shifted Strings,55.1%,Medium,1.2602327507507307, https://leetcode.com/problems/group-shifted-strings
314,Binary Tree Vertical Order Traversal,45.3%,Medium,1.2247904974214212, https://leetcode.com/problems/binary-tree-vertical-order-traversal
1060,Missing Element in Sorted Array,54.5%,Medium,1.2015522948374056, https://leetcode.com/problems/missing-element-in-sorted-array
767,Reorganize String,48.7%,Medium,1.182457868492389, https://leetcode.com/problems/reorganize-string
708,Insert into a Sorted Circular Linked List,31.6%,Medium,1.172343257989845, https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list
958,Check Completeness of a Binary Tree,52.1%,Medium,1.1632195643177228, https://leetcode.com/problems/check-completeness-of-a-binary-tree
1197,Minimum Knight Moves,36.1%,Medium,1.1562032194143523, https://leetcode.com/problems/minimum-knight-moves
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,1.0938757493214366, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
528,Random Pick with Weight,43.9%,Medium,1.0906112458600137, https://leetcode.com/problems/random-pick-with-weight
253,Meeting Rooms II,45.7%,Medium,1.0814304382893596, https://leetcode.com/problems/meeting-rooms-ii
380,Insert Delete GetRandom O(1),47.5%,Medium,1.0764926440989369, https://leetcode.com/problems/insert-delete-getrandom-o1
670,Maximum Swap,43.6%,Medium,1.0650556866604306, https://leetcode.com/problems/maximum-swap
33,Search in Rotated Sorted Array,34.5%,Medium,1.0520357838367607, https://leetcode.com/problems/search-in-rotated-sorted-array
146,LRU Cache,33.2%,Medium,0.980036431607266, https://leetcode.com/problems/lru-cache
825,Friends Of Appropriate Ages,42.7%,Medium,0.9548282098825729, https://leetcode.com/problems/friends-of-appropriate-ages
498,Diagonal Traverse,48.2%,Medium,0.9448109538225702, https://leetcode.com/problems/diagonal-traverse
304,Range Sum Query 2D - Immutable,38.6%,Medium,0.9339964539142727, https://leetcode.com/problems/range-sum-query-2d-immutable
227,Basic Calculator II,36.9%,Medium,0.9201510193402352, https://leetcode.com/problems/basic-calculator-ii
286,Walls and Gates,54.5%,Medium,0.9182875611040503, https://leetcode.com/problems/walls-and-gates
98,Validate Binary Search Tree,27.8%,Medium,0.9132791260666902, https://leetcode.com/problems/validate-binary-search-tree
138,Copy List with Random Pointer,36.4%,Medium,0.9130873453663271, https://leetcode.com/problems/copy-list-with-random-pointer
43,Multiply Strings,33.9%,Medium,0.8901363256144234, https://leetcode.com/problems/multiply-strings
616,Add Bold Tag in String,43.1%,Medium,0.8724465334959766, https://leetcode.com/problems/add-bold-tag-in-string
921,Minimum Add to Make Parentheses Valid,73.7%,Medium,0.869631484642747, https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
1123,Lowest Common Ancestor of Deepest Leaves,66.8%,Medium,0.8548064280870838, https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves
